skill,lv.mod,fg.mod,coordinate,groupName,subGroupName,count,m,IM_geo.dum
 TACL (Tandem advanced command language),2,3,1379,Technologies,Object or component oriented development software,41,62.06829147244153,0
3D Design,4,4,1917,Technologies,Computer aided design CAD software,3053,98.98219468036433,1
3D Printing,4,4,1916,Technologies,Computer aided design CAD software,2565,181.96812967506955,1
3D Scanning,4,4,1922,Technologies,Computer aided design CAD software,616,145.0493523199609,1
3D graphics software,5,4,2027,Technologies,Graphics or photo imaging software,51,86.82905031325397,0
3D modelling,4,4,1913,Technologies,Computer aided design CAD software,7013,76.47604702095788,1
3M Encoder,1,1,317,Technologies,Categorization or classification software,67,43.53262823515883,0
3PL Central,1,1,478,Technologies,Materials requirements planning logistics and supply chain software,53,145.61788504095193,0
4G / LTE technology,2,3,1586,Technologies,Networking and telecommunications,516,95.41335672379849,0
5G technology,2,3,1587,Technologies,Networking and telecommunications,2458,67.77265455415767,0
A programming language APL,2,3,1590,Technologies,Development environment software,62,51.15224038419505,0
A&D Technology iTest,2,3,1616,Technologies,Analytical or scientific software,1,NA,0
ACL Analytics,3,1,663,Technologies,Financial analysis software,26,54.830998414721506,0
ACSL (Advanced computer simulation language),1,1,442,Technologies,Development environment software,11,146.981798862311,0
ADP Workforce Now,1,1,596,Technologies,Human resources software,3431,176.49030442758516,0
ADP eTIME,1,1,117,Technologies,Time accounting software,31,175.80131406436678,0
ADP ezLaborManager,1,1,540,Technologies,Time accounting software,3,196.56653877907067,0
ADP software,1,1,389,Technologies,Enterprise resource planning ERP software,239,173.40800138276478,0
AEC Software FastTrack,1,4,1890,Technologies,Data base user interface and query software,2,88.6018855135868,0
AJAX,2,3,1159,Technologies,Web platform development software,3014,20.599472650194908,0
AMPL (A mathematical programming language),2,3,1338,Technologies,Analytical or scientific software,24,39.9669007142866,0
ANSYS,4,3,1869,Technologies,Analytical or scientific software,819,74.32303607717402,1
ANSYS FLUENT,4,2,864,Technologies,Analytical or scientific software,50,55.622820985179544,1
ANSYS LS-DYNA,4,3,1883,Technologies,Analytical or scientific software,2,NA,1
ANSYS Mechanical,4,2,910,Technologies,Analytical or scientific software,20,48.355928849451416,1
ANSYS Multiphysics,4,3,1881,Technologies,Analytical or scientific software,3,135.409994191981,1
AP ENPS,5,4,2026,Technologies,Video creation and editing software,11,55.1658933383394,0
APL (A programming language),2,3,1182,Technologies,Object or component oriented development software,701,60.00442084495819,0
ASIC (Application-specific integrated circuit),2,3,1079,Technologies,Computer Hardware,969,102.80789734797395,0
ASPEN PLUS,4,1,700,Technologies,Analytical or scientific software,86,74.52310008908329,1
AWK,2,3,1322,Technologies,Development environment software,198,58.70892078697539,0
AWS Redshift,2,3,1593,Technologies,Data base user interface and query software,794,34.998819805599865,0
Ab Initio,2,3,1210,Technologies,Enterprise resource planning ERP software,175,69.26737644975846,0
Abbot,1,1,182,Technologies,Program testing software,43,298.2566333055512,0
Accelerometers,2,2,772,Tools and Equipment,Miscellaneous or unclassified,102,61.179279111548816,0
Acceptance Test Procedures,1,1,248,Technologies,Quality Control,269,168.1893447771448,0
Access management software,3,3,1739,Technologies,Access software,93,139.13874816995042,0
Access servers,3,3,1741,Tools and Equipment,Miscellaneous or unclassified,182,74.16767407235744,0
Account management software,1,1,339,Technologies,Accounting software,162,141.62141432406554,0
Accounting software,1,1,31,Technologies,Accounting software,50706,154.71773339889526,0
Accounts payable software,1,1,234,Technologies,Accounting software,214,154.66127424350904,0
Accounts receivable software,1,1,433,Technologies,Accounting software,30,136.88561506260635,0
Accurate NXG,1,1,539,Technologies,Accounting software,3,NA,0
ActionScript,2,3,1087,Technologies,Development environment software,141,103.44772508140866,0
Active directory software,3,3,1796,Technologies,Internet directory services software,19,68.26808276047812,0
Actuate BIRT,2,3,1380,Technologies,Business intelligence and data analysis software,3,11.5384001064821,0
Acumatica,1,1,86,Technologies,Cloud Computing,572,136.26634128354027,0
AdRelevance,1,1,558,Technologies,Data base reporting software,14,140.846745749536,0
Ada,2,3,1136,Technologies,Development environment software,1079,81.32522330452122,0
Adaptive Planning,1,1,285,Technologies,Enterprise resource planning ERP software,337,116.05277510156331,0
Adaptive conjoint analysis ACA software,2,3,1436,Technologies,Analytical or scientific software,48,31.76460521639073,0
Addressing software,3,3,1747,Technologies,Word processing software,41,20.1241501625776,0
"Admissions, discharge, and transfer ADT software",1,1,239,Technologies,Medical software,165,247.78235320973985,0
Adobe Systems Adobe Acrobat,1,1,42,Technologies,Document management software,15195,141.96467756113182,0
Adobe Systems Adobe ActionScript,2,2,759,Technologies,Development environment software,1,135.409994191981,0
Adobe Systems Adobe After Effects,5,4,1984,Technologies,Video creation and editing software,1053,72.91301809093753,0
Adobe Systems Adobe AfterEffects,5,4,2045,Technologies,Video creation and editing software,24,61.95331161157089,0
Adobe Systems Adobe Audition,5,4,1988,Technologies,Music or sound editing software,420,109.7773526053489,0
Adobe Systems Adobe Captivate,5,4,1967,Technologies,Computer based training software,767,80.1269358221849,0
Adobe Systems Adobe ColdFusion,2,3,1259,Technologies,Web platform development software,194,20.715727286107136,0
Adobe Systems Adobe Connect,1,1,121,Technologies,Network conferencing software,650,127.80505124929255,0
Adobe Systems Adobe Contribute,1,1,452,Technologies,Web page creation and editing software,17,165.36813290663622,0
Adobe Systems Adobe Creative Cloud,5,4,1982,Technologies,Graphics or photo imaging software,4434,96.34893219614423,0
Adobe Systems Adobe Creative Suite,5,4,1956,Technologies,Development environment software,17286,100.97284320778105,0
Adobe Systems Adobe Distiller,1,1,622,Technologies,Desktop publishing software,4,88.472508452566,0
Adobe Systems Adobe Dreamweaver,5,4,1996,Technologies,Web page creation and editing software,680,58.859553047029465,0
Adobe Systems Adobe Experience Manager (AEM),2,4,1903,Technologies,Web page creation and editing software,1107,105.84437601324326,0
Adobe Systems Adobe Fireworks,5,4,2116,Technologies,Graphics or photo imaging software,8,146.85863080359627,0
Adobe Systems Adobe Flash,5,4,2137,Technologies,Graphics or photo imaging software,122,20.569054513921262,0
Adobe Systems Adobe Flex,2,3,1425,Technologies,Web platform development software,6,3.831450381679392,0
Adobe Systems Adobe FrameMaker,5,4,2022,Technologies,Desktop publishing software,200,91.02732750518614,0
Adobe Systems Adobe FreeHand,5,4,2033,Technologies,Graphics or photo imaging software,147,35.36011255524808,0
Adobe Systems Adobe Illustrator,5,4,1942,Technologies,Graphics or photo imaging software,7976,90.25538943208504,0
Adobe Systems Adobe ImageReady,5,4,2085,Technologies,Graphics or photo imaging software,2,NA,0
Adobe Systems Adobe InCopy,5,4,2107,Technologies,Word processing software,13,154.2253997923236,0
Adobe Systems Adobe InDesign,5,4,1943,Technologies,Desktop publishing software,3604,105.92488851235557,0
Adobe Systems Adobe PageMaker,1,1,427,Technologies,Desktop publishing software,10,102.59848798978287,0
Adobe Systems Adobe Photoshop,5,4,1941,Technologies,Graphics or photo imaging software,46540,96.1251862227797,0
Adobe Systems Adobe Photoshop Lightroom,5,4,2079,Technologies,Graphics or photo imaging software,16,77.50165570270835,0
Adobe Systems Adobe Premiere Pro,5,4,1973,Technologies,Video creation and editing software,1436,67.26930870952641,0
Adobe Systems Adobe Presenter,1,1,477,Technologies,Computer based training software,17,121.2723819647785,0
Adobe Systems Adobe Reader,1,1,260,Technologies,Document management software,455,133.99102041845333,0
Adobe Systems Adobe RoboHelp,5,4,2038,Technologies,Graphical user interface development software,34,55.763483664553974,0
Adobe Systems Adobe Writer,1,1,228,Technologies,Word processing software,183,135.82192973669697,0
Adobe Systems Adobe eLearning Suite,1,1,428,Technologies,Computer based training software,17,3.38931297709924,0
Advanced business application programming ABAP,2,3,1365,Technologies,Object or component oriented development software,156,14.908064700915636,0
Advent Axys,1,1,624,Technologies,Financial analysis software,3,NA,0
Agar plates,1,1,380,Tools and Equipment,Miscellaneous or unclassified,18,54.39369493283685,0
Agency Master,1,1,578,Technologies,Enterprise resource planning ERP software,7,101.59262254633458,0
Agency management software,1,1,504,Technologies,Enterprise resource planning ERP software,66,68.67930959776491,0
Agile Software Development,2,3,1047,Occupational Skills,Software and web development,110157,47.17983328657611,0
Agilent ChemStation,1,1,434,Technologies,Analytical or scientific software,7,68.46399820318628,0
Air flow sensors,4,2,971,Tools and Equipment,Miscellaneous or unclassified,3,27.6678043230944,1
Airline global distribution systems GDS software,1,1,466,Technologies,Data base user interface and query software,99,43.63330231676785,0
Alarm system software,1,1,556,Technologies,Facilities management software,30,111.04956847830991,0
Allen Bradley PanelView,4,2,839,Technologies,Industrial control software,6,80.25600458854397,1
Allscripts,1,1,373,Technologies,Medical software,191,132.0797246011238,0
Allscripts Sunrise Clinical Manager,1,1,604,Technologies,Medical software,650,190.5398630356114,0
Altium Designer,2,3,1138,Technologies,Computer aided design CAD software,353,21.866589215552974,0
Amazing Charts,1,1,524,Technologies,Medical software,6,20.1241501625776,0
Amazon Data Pipeline,2,3,1434,Technologies,Data base management system software,25,14.71656878937478,0
Amazon DynamoDB,2,3,1369,Technologies,Data base management system software,156,55.31286278381613,0
Amazon Kinesis,2,3,1290,Technologies,Data base management system software,540,35.60295294236769,0
Amazon Machine Learning,2,3,1620,Technologies,Artificial Intelligence,5,15.7202010050251,0
Amazon Web Services (AWS),2,3,1040,Technologies,Cloud Computing,51789,43.98006630417717,0
Ameresco software,1,1,618,Technologies,Enterprise resource planning ERP software,34,207.86019033529294,0
Analysis and building software,2,3,1480,Technologies,Analytical or scientific software,67,110.77329508331215,0
Analytical software,2,2,769,Technologies,Analytical or scientific software,1685,78.60359313858697,0
Analyz,5,2,1005,Technologies,Analytical or scientific software,17,132.29565568126253,0
Android,2,3,1029,Technologies,Operating system software,8787,62.77616135242585,0
Angoss KnowledgeSEEKER,2,3,1501,Technologies,Data mining software,4,108.268000187419,0
AngularJS,2,3,1037,Technologies,Web platform development software,10574,12.92989170313346,0
Animal Shelter Manager,1,1,438,Technologies,Data base user interface and query software,15,108.408557894248,0
Animation,5,4,2126,Occupational Skills,Video production and computer graphics,10677,115.6329256852408,0
Animation software,5,4,1962,Technologies,Graphics or photo imaging software,1302,23.320957707080087,0
Ansible software,2,3,1572,Technologies,Expert system software,3926,20.98572171436567,0
Antenna analyzers,2,3,1535,Tools and Equipment,Miscellaneous or unclassified,6,13.6076977962485,0
AnthillPro,2,3,1538,Technologies,Development environment software,1,3.38931297709924,0
Anti-spyware software,3,3,1841,Technologies,Transaction security and virus protection software,15,56.8371322838768,0
Antivirus software,3,3,1737,Technologies,Transaction security and virus protection software,905,80.99821509172703,0
Apache Ant,2,3,1337,Technologies,Development environment software,76,26.752303705353118,0
Apache Avro,2,3,1433,Technologies,Information retrieval or search software,11,34.51880748424529,0
Apache Cassandra,2,3,1108,Technologies,Data base management system software,199,13.28499455105614,0
Apache Flume,2,3,1449,Technologies,Data base management system software,14,15.7202010050251,0
Apache Groovy,2,3,1617,Technologies,Object or component oriented development software,15,7.463856541790671,0
Apache Gump,2,2,760,Technologies,Development environment software,1,135.409994191981,0
Apache HTTP Server,2,3,1302,Technologies,Portal server software,80,9.986772511826947,0
Apache Hadoop,2,3,1106,Technologies,Data base management system software,9287,29.342441927840216,0
Apache Hbase,2,3,1343,Technologies,Data base management system software,103,13.871002247968452,0
Apache Hive,2,3,1109,Technologies,Data base management system software,161,19.49026103435255,0
Apache Jmeter,2,3,1589,Technologies,Object or component oriented development software,676,22.043115542432027,0
Apache Kafka,2,3,1582,Technologies,Development environment software,2911,21.607770700458687,0
Apache Mahout,2,3,1625,Technologies,Expert system software,2,23.86041599724775,0
Apache MapReduce,2,3,1162,Technologies,Big Data,694,25.561914318795406,0
Apache Maven,2,3,1084,Technologies,Development environment software,247,20.042346602970877,0
Apache Oozie,2,3,1360,Technologies,Data base management system software,12,15.75705663286412,0
