name,subGroupName,mod,digital_assign.x,lv.mod,2016,2017,2018,2019,2020,count_2021,2022,2023,growth,cagr,score,digital_assign.y
3D Design,Computer aided design CAD software,High-tech,1,Industrial modelling & geospatial software skills,110,414,1219,1208,548,904,1128,473,-0.25165562913907286,-0.13493100225419752,98.98219468036433,1
3D Printing,Computer aided design CAD software,High-tech,1,Industrial modelling & geospatial software skills,50,136,435,615,318,579,1077,591,-0.05853658536585366,-0.029709623548627384,181.96812967506955,1
3D Scanning,Computer aided design CAD software,High-tech,1,Industrial modelling & geospatial software skills,32,38,135,85,71,149,240,156,0.7529411764705882,0.3239868490550004,145.0493523199609,1
3D modelling,Computer aided design CAD software,High-tech,1,Industrial modelling & geospatial software skills,410,1273,2872,2750,1361,1880,2717,1055,-0.31636363636363635,-0.17317694538894024,76.47604702095788,1
AJAX,Web platform development software,High-tech,1,Software/product dev & data skills,1193,2533,3578,2811,1059,965,740,250,-0.6567057986481679,-0.4140868653530354,20.599472650194908,1
ANSYS,Analytical or scientific software,High-tech,1,Industrial modelling & geospatial software skills,47,156,357,409,171,196,306,146,-0.5207823960880196,-0.3077445529921917,74.32303607717402,1
APL (A programming language),Object or component oriented development software,High-tech,1,Software/product dev & data skills,45,164,176,312,196,221,230,54,-0.2916666666666667,-0.15837458846982677,60.00442084495819,1
ASIC (Application-specific integrated circuit),Computer Hardware,High-tech,1,Software/product dev & data skills,246,466,799,861,270,278,256,165,-0.6771196283391405,-0.4317743655370171,102.80789734797395,1
Accounting software,Accounting software,General office,1,Workforce digital skills,3065,6631,14404,14821,9904,14151,18257,8394,-0.04520612644221038,-0.02286445486934119,154.71773339889526,1
Acumatica,Cloud Computing,General office,1,Workforce digital skills,33,41,130,204,88,147,240,97,-0.27941176470588236,-0.15112531237283455,136.26634128354027,1
Ada,Development environment software,High-tech,1,Software/product dev & data skills,22,92,266,321,198,269,561,51,-0.16199376947040497,-0.08457319761239512,81.32522330452122,1
Adaptive Planning,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,4,35,44,37,32,115,123,67,2.108108108108108,0.7629827305189656,116.05277510156331,1
Adobe Systems Adobe Acrobat,Document management software,General office,1,Workforce digital skills,607,2109,4252,4250,2627,4088,6010,2470,-0.03811764705882353,-0.019243989087409874,141.96467756113182,1
Adobe Systems Adobe After Effects,Video creation and editing software,Business and management,1,Design & marketing skills,79,162,305,340,292,292,333,136,-0.1411764705882353,-0.07327267796197745,72.91301809093753,1
Adobe Systems Adobe Audition,Music or sound editing software,Business and management,1,Design & marketing skills,35,92,179,173,92,115,154,59,-0.3352601156069364,-0.18468418119537044,109.7773526053489,1
Adobe Systems Adobe Captivate,Computer based training software,Business and management,1,Design & marketing skills,59,169,265,343,207,201,261,98,-0.4139941690962099,-0.23448982312199784,80.1269358221849,1
Adobe Systems Adobe Connect,Network conferencing software,Business and management,1,Workforce digital skills,47,161,328,314,164,178,236,72,-0.43312101910828027,-0.2470863390190614,127.80505124929255,1
Adobe Systems Adobe Creative Cloud,Graphics or photo imaging software,Business and management,1,Design & marketing skills,85,431,937,1172,765,1255,1759,655,0.07081911262798635,0.034803900566666046,96.34893219614423,1
Adobe Systems Adobe Creative Suite,Development environment software,Business and management,1,Design & marketing skills,843,2979,5874,6144,3551,4866,6325,2544,-0.2080078125,-0.11006057088136612,100.97284320778105,1
Adobe Systems Adobe Dreamweaver,Web page creation and editing software,High-tech,1,Design & marketing skills,88,153,166,221,177,211,214,78,-0.04524886877828054,-0.02288632635618104,58.859553047029465,1
Adobe Systems Adobe Illustrator,Graphics or photo imaging software,High-tech,1,Design & marketing skills,744,1415,2713,2603,1927,2234,2649,1166,-0.14175950825970035,-0.07358729945002385,90.25538943208504,1
Adobe Systems Adobe InDesign,Desktop publishing software,Business and management,1,Design & marketing skills,177,641,1207,1192,756,999,1322,527,-0.16191275167785235,-0.08452894730518778,105.92488851235557,1
Adobe Systems Adobe Photoshop,Graphics or photo imaging software,Business and management,1,Design & marketing skills,2892,7786,17430,18003,11008,13354,16153,6025,-0.25823473865466867,-0.1387420471511851,96.1251862227797,1
Adobe Systems Adobe Premiere Pro,Video creation and editing software,High-tech,1,Design & marketing skills,84,115,280,347,314,426,479,217,0.2276657060518732,0.10800076987873664,67.26930870952641,1
Adobe Systems Adobe Reader,Document management software,General office,1,Workforce digital skills,5,65,136,120,96,104,171,84,-0.13333333333333333,-0.06905066374873725,133.99102041845333,1
Agile Software Development,Software and web development,High-tech,1,Software/product dev & data skills,7684,23940,46236,50723,23980,35447,39582,11148,-0.30116515190347576,-0.16403657490502355,47.17983328657611,1
Altium Designer,Computer aided design CAD software,High-tech,1,Software/product dev & data skills,18,68,151,177,78,114,115,46,-0.3559322033898305,-0.1974616541185279,21.866589215552974,1
Amazon Kinesis,Data base management system software,High-tech,1,Software/product dev & data skills,2,NA,14,137,181,185,162,12,0.35036496350364965,0.16205204853468147,35.60295294236769,1
Amazon Web Services (AWS),Cloud Computing,High-tech,1,Software/product dev & data skills,3424,8987,14449,21442,11985,17437,17882,4485,-0.18678294935173959,-0.09821452071556369,43.98006630417717,1
Analytical software,Analytical or scientific software,High-tech,1,Software/product dev & data skills,72,214,312,422,245,425,782,233,0.0071090047393364926,0.003548207481502308,78.60359313858697,1
Android,Operating system software,High-tech,1,Software/product dev & data skills,1802,4788,6288,5953,2431,2748,2793,815,-0.5383840080631614,-0.3205767210811521,62.77616135242585,1
AngularJS,Web platform development software,High-tech,1,Software/product dev & data skills,1911,6063,9852,9351,3119,3630,2875,950,-0.6118062239332692,-0.3769480149564317,12.92989170313346,1
Animation software,Graphics or photo imaging software,High-tech,1,Design & marketing skills,141,140,272,355,270,304,454,274,-0.14366197183098592,-0.07461465963145164,23.320957707080087,1
Antivirus software,Transaction security and virus protection software,High-tech,1,Cybersecurity & system infrastructure skills,11,50,484,507,180,188,415,122,-0.6291913214990138,-0.39105938015190167,80.99821509172703,1
Apache Hadoop,Data base management system software,High-tech,1,Software/product dev & data skills,1383,3786,5776,5180,2309,3010,3142,826,-0.4189189189189189,-0.2377132553421376,29.342441927840216,1
Apache MapReduce,Big Data,High-tech,1,Software/product dev & data skills,154,443,681,647,216,226,213,39,-0.6506955177743431,-0.408980133814728,25.561914318795406,1
Apache Maven,Development environment software,High-tech,1,Software/product dev & data skills,39,117,176,155,44,107,77,19,-0.3096774193548387,-0.16914346566620708,20.042346602970877,1
Apache Spark,Object or component oriented development software,High-tech,1,Software/product dev & data skills,66,420,586,786,324,473,556,144,-0.3982188295165394,-0.22425444217613433,24.639391152359124,1
Apache Tomcat,Web platform development software,High-tech,1,Software/product dev & data skills,349,900,1533,1105,423,516,543,207,-0.5330316742081448,-0.31664919273344294,17.56918549410214,1
Apple Mac OS X,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,493,964,1539,1711,898,1041,1420,384,-0.39158386908240794,-0.21998965973674933,84.09559381884294,1
Application servers,Operating system software,High-tech,1,Software/product dev & data skills,625,1207,1977,1646,796,915,915,354,-0.44410692588092343,-0.25441762754268626,29.043698633243167,1
Articulate Storyline,Computer based training software,Business and management,1,Design & marketing skills,70,239,375,484,239,330,385,177,-0.3181818181818182,-0.17427717615522953,86.86490716717084,1
Artificial Intelligence (AI),Artificial Intelligence,High-tech,1,Software/product dev & data skills,860,5047,13236,19643,12762,21737,29210,9356,0.1066028610701013,0.05195192906810209,103.08104822594191,1
Asset management software,Inventory management software,Business and management,1,Workforce digital skills,63,205,311,265,179,311,393,201,0.17358490566037735,0.08332123844240091,123.12720715663193,1
Atlassian Confluence,Project management software,High-tech,1,Software/product dev & data skills,14,47,239,189,124,222,6955,3495,0.1746031746031746,0.08379111207057544,64.84404636834671,1
Atlassian JIRA,Content workflow software,High-tech,1,Software/product dev & data skills,1306,5120,13586,14978,8792,14399,18062,6232,-0.038656696488182665,-0.0195188408175212,56.410839512406824,1
