subGroupName,2016,2017,2018,2019,2020,count_2021,2022,2023,growth,groupName,wm
Access software,789,1879,4258,3343,1893,2537,2882,1051,-0.2411008076577924,Technologies,61.105201089010635
Accounting software,4404,9522,27948,32239,21404,29004,38805,16717,-0.10034430348335867,Technologies,156.07082009277877
Action games,NA,2,4,2,1,9,9,3,3.5,Technologies,69.82101405405251
Administration software,183,544,979,932,517,615,753,275,-0.34012875536480686,Technologies,43.89191325911702
Administrative,3612,12626,76029,97451,71050,113051,510199,343223,0.16008045068803808,Occupational Skills,224.0536218000659
Analysis and research,43459,147113,276225,265638,166785,258336,466329,228686,-0.027488537031599394,Occupational Skills,140.22525475105786
Analytical or scientific software,10603,20703,42979,42834,27700,36646,51585,21378,-0.14446467759256665,Technologies,138.0836763746104
Application server software,2343,6377,10431,9312,5568,6850,16288,6631,-0.2643900343642612,Technologies,29.288732016505808
Artificial Intelligence,1652,9303,23311,33741,20131,33891,43043,13645,0.0044456299457633144,Technologies,87.07380189656087
Authentication server software,125,448,725,644,465,648,912,347,0.006211180124223602,Technologies,288.0104661419733
Aviation ground support software,102,451,863,693,158,457,1143,410,-0.34054834054834054,Technologies,101.07186978172956
Backup or archival software,73,216,552,459,228,302,492,168,-0.3420479302832244,Technologies,45.725185825249206
Banking and insurance,3866,8034,16250,17087,10444,13325,22627,9404,-0.22016737870896003,Occupational Skills,153.0294067366844
Bar coding software,NA,NA,1,1,NA,NA,6,2,NA,Technologies,320.86540364788067
Big Data,3468,7888,11717,11617,5593,7352,8098,2064,-0.36713437204097443,Technologies,46.45504242469941
Building and facilities,8977,22039,42880,44409,36805,54438,99661,50544,0.225832601499696,Tools and Equipment,316.44154477272536
Business analysis,32029,82242,134403,132040,93909,157706,139311,58378,0.19438049076037564,Occupational Skills,126.85714344807718
Business intelligence and data analysis software,2414,6637,13948,17514,13630,23082,31901,12581,0.3179170948955122,Technologies,64.6903380946614
Business planning and operations,51606,149733,273812,275088,173968,274255,571415,273119,-0.0030281219100796834,Occupational Skills,154.1490046216138
Calendar and scheduling software,312,1693,6840,7223,4293,4913,8690,3868,-0.31981171258479857,Technologies,203.52460437293072
Categorization or classification software,NA,66,47,19,18,9,37,3,-0.5263157894736842,Technologies,43.53262823515883
Charting software,17,53,203,205,352,1338,1861,964,5.5268292682926825,Technologies,245.0193746539608
Cleaning,2453,3716,6936,6959,6035,8356,10460,4395,0.20074723379795947,Tools and Equipment,376.0851355180862
Cloud Computing,14334,34760,58913,76828,47571,68604,81013,26661,-0.10704430676315926,Technologies,49.8872702979442
Clustering software,NA,5,13,9,7,6,20,4,-0.3333333333333333,Technologies,18.842867570983266
Cognitive,35796,116829,170620,176144,105371,149598,381279,179640,-0.15070624034880553,Social-Emotional Skills,215.949745012405
Communications server software,14,108,170,121,48,68,145,29,-0.4380165289256198,Technologies,217.8872706931168
Compiler and decompiler software,128,200,335,392,114,204,152,53,-0.47959183673469385,Technologies,87.02446161954579
Compliance software,125,455,851,594,425,669,750,286,0.12626262626262627,Technologies,134.99889879052208
Computer aided design CAD and computer aided manufacturing CAM system,4,2,17,11,1,7,8,2,-0.36363636363636365,Technologies,158.92202029045916
Computer aided design CAD software,8786,25266,50695,46564,26047,30539,40284,16882,-0.34414998711450906,Technologies,87.76467095486998
Computer aided manufacturing CAM software,550,1263,1513,1448,888,1178,2155,898,-0.18646408839779005,Technologies,189.10450111036113
Computer based training software,323,1523,3295,3474,2527,4041,5263,2358,0.16321243523316062,Technologies,123.9013596151625
Computer Games,5,412,801,162,61,112,183,44,-0.30864197530864196,Technologies,134.05522769532314
Computer Hardware,246,466,799,861,270,278,256,165,-0.6771196283391405,Technologies,102.80789734797395
Configuration management software,1617,4735,9994,9529,5613,7289,8879,2917,-0.23507188582222688,Technologies,39.64674311182718
Content workflow software,1333,5257,13811,15162,8886,14567,18249,6292,-0.039242843951985226,Technologies,57.039813751518636
Corporate finance and accounting,54611,143738,298265,314306,206061,294474,448573,197637,-0.0630977455091535,Occupational Skills,154.48752294445922
Customer relationship management CRM software,6775,17951,56497,68638,46944,64076,80327,30334,-0.06646464057810542,Technologies,129.4244988765112
Customer service,177683,419054,817615,821351,568947,851379,1178226,491994,0.036559278554479144,Occupational Skills,228.160714995065
Data base management system software,3807,12493,20219,20106,9099,11997,15591,5106,-0.40331244404655325,Technologies,30.280499575879453
Data base reporting software,2622,6613,11827,11041,5871,8907,12121,4659,-0.1932795942396522,Technologies,86.46700328635532
Data base user interface and query software,40509,103667,177273,164933,93186,122677,148544,58481,-0.25620100283145275,Technologies,86.06580325715242
