skill,score,digital_assign
 TACL (Tandem advanced command language),62.06829147244153,1
3D Design,98.98219468036433,1
3D Printing,181.96812967506955,1
3D Scanning,145.0493523199609,1
3D graphics software,86.82905031325397,1
3D modelling,76.47604702095788,1
3M Encoder,43.53262823515883,1
3PL Central,145.61788504095193,1
4G / LTE technology,95.41335672379849,1
5 axis lathes,175.2500861332587,0
5G technology,67.77265455415767,1
5S Methodology,229.37862334100038,0
A programming language APL,51.15224038419505,1
ACE Dental,208.11650593989924,1
ACL Analytics,54.830998414721506,1
ACLS (Advanced Cardiac Life Support),196.99287636722306,0
ACSL (Advanced computer simulation language),146.981798862311,1
ADP Workforce Now,176.49030442758516,1
ADP eTIME,175.80131406436678,1
ADP ezLaborManager,196.56653877907067,1
ADP software,173.40800138276478,1
AEC Software FastTrack,88.6018855135868,1
AJAX,20.599472650194908,1
ALS (Advanced Life Support),200.59076230633858,0
AMPL (A mathematical programming language),39.9669007142866,1
ANSYS,74.32303607717402,1
ANSYS FLUENT,55.622820985179544,1
ANSYS Mechanical,48.355928849451416,1
ANSYS Multiphysics,135.409994191981,1
AP ENPS,55.1658933383394,1
APL (A programming language),60.00442084495819,1
ASIC (Application-specific integrated circuit),102.80789734797395,1
ASPEN PLUS,74.52310008908329,1
AWK,58.70892078697539,1
AWS Redshift,34.998819805599865,1
Ab Initio,69.26737644975846,1
Abbot,298.2566333055512,1
Ability to Learn,232.41764215721247,0
Abrasive wheels,235.07349451891776,0
Accelerometers,61.179279111548816,1
Acceptance Test Procedures,168.1893447771448,1
Access control systems,135.22767737199268,0
Access management software,139.13874816995042,1
Access servers,74.16767407235744,1
Account management software,141.62141432406554,1
Accounting,157.1218260820688,0
Accounting software,154.71773339889526,1
Accounts payable software,154.66127424350904,1
Accounts receivable software,136.88561506260635,1
Acetylene welding equipment,206.3849122294811,0
Acoustic guitars,298.9722399793909,0
ActionScript,103.44772508140866,1
Active directory software,68.26808276047812,1
Actuate BIRT,11.5384001064821,1
Acumatica,136.26634128354027,1
AdRelevance,140.846745749536,1
Ada,81.32522330452122,1
Adaptive Planning,116.05277510156331,1
Adaptive conjoint analysis ACA software,31.76460521639073,1
Addressing software,20.1241501625776,1
Adjustable beds,230.39658896088784,0
Adjustable wrenches,357.785840139782,0
Adjusting tables,219.283219275031,0
Adjustment tables,223.215297026068,0
"Admissions, discharge, and transfer ADT software",247.78235320973985,1
Adobe Systems Adobe Acrobat,141.96467756113182,1
Adobe Systems Adobe ActionScript,135.409994191981,1
Adobe Systems Adobe After Effects,72.91301809093753,1
Adobe Systems Adobe AfterEffects,61.95331161157089,1
Adobe Systems Adobe Audition,109.7773526053489,1
Adobe Systems Adobe Captivate,80.1269358221849,1
Adobe Systems Adobe ColdFusion,20.715727286107136,1
Adobe Systems Adobe Connect,127.80505124929255,1
Adobe Systems Adobe Contribute,165.36813290663622,1
Adobe Systems Adobe Creative Cloud,96.34893219614423,1
Adobe Systems Adobe Creative Suite,100.97284320778105,1
Adobe Systems Adobe Distiller,88.472508452566,1
Adobe Systems Adobe Dreamweaver,58.859553047029465,1
Adobe Systems Adobe Experience Manager (AEM),105.84437601324326,1
Adobe Systems Adobe Fireworks,146.85863080359627,1
Adobe Systems Adobe Flash,20.569054513921262,1
Adobe Systems Adobe Flex,3.831450381679392,1
Adobe Systems Adobe FrameMaker,91.02732750518614,1
Adobe Systems Adobe FreeHand,35.36011255524808,1
Adobe Systems Adobe Illustrator,90.25538943208504,1
Adobe Systems Adobe InCopy,154.2253997923236,1
Adobe Systems Adobe InDesign,105.92488851235557,1
Adobe Systems Adobe PageMaker,102.59848798978287,1
Adobe Systems Adobe Photoshop,96.1251862227797,1
Adobe Systems Adobe Photoshop Lightroom,77.50165570270835,1
Adobe Systems Adobe Premiere Pro,67.26930870952641,1
Adobe Systems Adobe Presenter,121.2723819647785,1
Adobe Systems Adobe Reader,133.99102041845333,1
Adobe Systems Adobe RoboHelp,55.763483664553974,1
Adobe Systems Adobe Writer,135.82192973669697,1
Adobe Systems Adobe eLearning Suite,3.38931297709924,1
Advanced business application programming ABAP,14.908064700915636,1
Advanced product quality planning (APQP),125.75762617256268,0
Advocacy Skills ,200.28988179748328,0
Aerators,360.77169877061857,0
Aerial bucket trucks,370.7251796118154,0
