skill,score,digital_assign,mod,lv.mod,ht_df,order
3M Encoder,43.53262823515883,1,General office,Workforce digital skills,Non-High-tech skills,1
3PL Central,145.61788504095193,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
5 axis lathes,175.2500861332587,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
5S Methodology,229.37862334100038,0,Business and management,Non-digital High-tech skills,Non-High-tech skills,1
ACE Dental,208.11650593989924,1,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
ACLS (Advanced Cardiac Life Support),196.99287636722306,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
ACSL (Advanced computer simulation language),146.981798862311,1,Communication and interaction,Workforce digital skills,Non-High-tech skills,1
ADP Workforce Now,176.49030442758516,1,General office,Workforce digital skills,Non-High-tech skills,1
ADP eTIME,175.80131406436678,1,General office,Workforce digital skills,Non-High-tech skills,1
ADP ezLaborManager,196.56653877907067,1,General office,Workforce digital skills,Non-High-tech skills,1
ADP software,173.40800138276478,1,General office,Workforce digital skills,Non-High-tech skills,1
ALS (Advanced Life Support),200.59076230633858,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
AP ENPS,55.1658933383394,1,Business and management,Design & marketing skills,Non-High-tech skills,1
ASPEN PLUS,74.52310008908329,1,Business and management,Industrial modelling & geospatial skills,Non-High-tech skills,1
Abbot,298.2566333055512,1,Sales and merchandising,Workforce digital skills,Non-High-tech skills,1
Ability to Learn,232.41764215721247,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Abrasive wheels,235.07349451891776,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Access control systems,135.22767737199268,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Account management software,141.62141432406554,1,General office,Workforce digital skills,Non-High-tech skills,1
Accounting,157.1218260820688,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
Accounting software,154.71773339889526,1,General office,Workforce digital skills,Non-High-tech skills,1
Accounts payable software,154.66127424350904,1,General office,Workforce digital skills,Non-High-tech skills,1
Accounts receivable software,136.88561506260635,1,General office,Workforce digital skills,Non-High-tech skills,1
Acetylene welding equipment,206.3849122294811,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Acoustic guitars,298.9722399793909,0,Communication and interaction,Non-digital High-tech skills,Non-High-tech skills,1
Acumatica,136.26634128354027,1,General office,Workforce digital skills,Non-High-tech skills,1
AdRelevance,140.846745749536,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Adaptive Planning,116.05277510156331,1,Business and management,Workforce digital skills,Non-High-tech skills,1
Adjustable beds,230.39658896088784,0,Sales and merchandising,Non-digital High-tech skills,Non-High-tech skills,1
Adjustable wrenches,357.785840139782,0,Trades,Non-digital High-tech skills,Non-High-tech skills,1
Adjustment tables,223.215297026068,0,General office,Non-digital High-tech skills,Non-High-tech skills,1
"Admissions, discharge, and transfer ADT software",247.78235320973985,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe Acrobat,141.96467756113182,1,General office,Workforce digital skills,Non-High-tech skills,1
Adobe Systems Adobe After Effects,72.91301809093753,1,Business and management,Design & marketing skills,Non-High-tech skills,1
